Date Joined Venmo,Date First Used Pay With Venmo,Phone,Age,State,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,OR,,,,,,,,,,,,,,,
7/1/16,8/12/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/31/16,iPhone,,CO,,,,,,,,,,,,,,,
7/1/16,7/29/16,iPhone,39,CA,,,,,,,,,,,,,,,
7/1/16,12/8/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/20/16,iPhone,,MD,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,8/25/16,Android,,AL,,,,,,,,,,,,,,,
7/1/16,7/15/16,Android,42,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/9/16,iPhone,19,NC,,,,,,,,,,,,,,,
7/1/16,8/6/16,Android,,TX,,,,,,,,,,,,,,,
7/1/16,7/22/16,iPhone,27,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,11/22/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/16/16,Android,,KS,,,,,,,,,,,,,,,
7/1/16,9/3/16,iPhone,9,CA,,,,,,,,,,,,,,,
7/1/16,7/19/16,Android,,TX,,,,,,,,,,,,,,,
7/1/16,7/17/16,Android,21,CA,,,,,,,,,,,,,,,
7/1/16,7/9/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/19/16,iPhone,30,FL,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/10/16,iPhone,,VA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,KS,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,MI,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,FL,,,,,,,,,,,,,,,
7/1/16,9/2/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,IL,,,,,,,,,,,,,,,
7/1/16,8/29/16,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,7/17/16,iPhone,29,MA,,,,,,,,,,,,,,,
7/1/16,7/15/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,21,VA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,AR,,,,,,,,,,,,,,,
7/1/16,7/13/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,8/4/16,iPhone,,IA,,,,,,,,,,,,,,,
7/1/16,7/10/16,iPhone,,HI,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,17,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,27,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,DC,,,,,,,,,,,,,,,
7/1/16,4/18/17,iPhone,,CT,,,,,,,,,,,,,,,
7/1/16,7/10/16,Android,,OR,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,38,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,7/15/16,iPhone,,PA,,,,,,,,,,,,,,,
7/1/16,9/8/16,Android,,WA,,,,,,,,,,,,,,,
7/1/16,8/31/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,7/15/16,iPhone,17,MA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NJ,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,9,NY,,,,,,,,,,,,,,,
7/1/16,8/2/16,iPhone,17,PR,,,,,,,,,,,,,,,
7/1/16,9/27/16,Android,23,UT,,,,,,,,,,,,,,,
7/1/16,7/23/16,Android,,VA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/5/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,MO,,,,,,,,,,,,,,,
7/1/16,7/9/16,iPhone,42,CA,,,,,,,,,,,,,,,
7/1/16,7/5/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,28,WA,,,,,,,,,,,,,,,
7/1/16,7/10/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,10/5/16,iPhone,,MI,,,,,,,,,,,,,,,
7/1/16,10/28/16,Android,15,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,26,FL,,,,,,,,,,,,,,,
7/1/16,8/25/16,iPhone,,NC,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,31,MN,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,WV,,,,,,,,,,,,,,,
7/1/16,8/21/16,iPhone,9,TX,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/10/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,49,OK,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NC,,,,,,,,,,,,,,,
7/1/16,7/12/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,MI,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,SC,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,NJ,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/26/16,iPhone,,IL,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,HI,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,NM,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,21,MA,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,NJ,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,40,CA,,,,,,,,,,,,,,,
7/1/16,10/5/16,iPhone,23,NY,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,9,CA,,,,,,,,,,,,,,,
7/1/16,7/14/16,Android,17,PA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,33,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,29,FL,,,,,,,,,,,,,,,
7/1/16,7/18/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,8/12/16,iPhone,25,NC,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/15/16,iPhone,15,MA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,DC,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,NC,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NC,,,,,,,,,,,,,,,
7/1/16,7/19/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,8/15/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,CO,,,,,,,,,,,,,,,
7/1/16,7/11/16,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,8/12/16,Android,,MA,,,,,,,,,,,,,,,
7/1/16,7/24/16,Android,27,MD,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,MI,,,,,,,,,,,,,,,
7/1/16,7/14/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,VA,,,,,,,,,,,,,,,
7/1/16,7/11/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,17,OH,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,VA,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,19,GA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,9/2/16,Android,33,VA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,KS,,,,,,,,,,,,,,,
7/1/16,8/4/16,iPhone,,MI,,,,,,,,,,,,,,,
7/1/16,7/31/16,Android,,UT,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,11,FL,,,,,,,,,,,,,,,
7/1/16,7/22/16,Android,38,UT,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,NJ,,,,,,,,,,,,,,,
7/1/16,7/17/16,iPhone,,IL,,,,,,,,,,,,,,,
7/1/16,7/9/16,iPhone,15,NY,,,,,,,,,,,,,,,
7/1/16,7/25/16,iPhone,11,NY,,,,,,,,,,,,,,,
7/1/16,8/3/16,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,GA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,8/16/16,Android,,MO,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,TN,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,WI,,,,,,,,,,,,,,,
7/1/16,7/5/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/13/16,iPhone,,NJ,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,MI,,,,,,,,,,,,,,,
7/1/16,10/1/16,Android,23,NY,,,,,,,,,,,,,,,
7/1/16,4/19/17,iPhone,50,CA,,,,,,,,,,,,,,,
7/1/16,7/14/16,iPhone,,PR,,,,,,,,,,,,,,,
7/1/16,10/1/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/29/16,iPhone,,NJ,,,,,,,,,,,,,,,
7/1/16,7/15/16,Android,9,MA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,18,IA,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,10/1/16,Android,,TX,,,,,,,,,,,,,,,
7/1/16,8/8/16,iPhone,,CO,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,28,NJ,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,14,PA,,,,,,,,,,,,,,,
7/1/16,7/22/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/16/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/26/16,iPhone,25,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,26,NC,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,37,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,WI,,,,,,,,,,,,,,,
7/1/16,7/27/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,8/11/16,Android,,LA,,,,,,,,,,,,,,,
7/1/16,7/9/16,iPhone,14,CA,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,NM,,,,,,,,,,,,,,,
7/1/16,7/11/16,Android,23,GA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/10/16,iPhone,15,CA,,,,,,,,,,,,,,,
7/1/16,9/2/16,iPhone,35,CA,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,12,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,GA,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,8/2/16,Android,22,CA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,GA,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,GA,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,SC,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,8/6/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/10/16,Android,,NJ,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NJ,,,,,,,,,,,,,,,
7/1/16,7/12/16,iPhone,,PA,,,,,,,,,,,,,,,
7/1/16,7/10/16,iPhone,,DC,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,35,DC,,,,,,,,,,,,,,,
7/1/16,7/20/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,10/26/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,16,NJ,,,,,,,,,,,,,,,
7/1/16,10/1/16,iPhone,30,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,DC,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,MA,,,,,,,,,,,,,,,
7/1/16,7/20/16,Android,,MD,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,UT,,,,,,,,,,,,,,,
7/1/16,7/14/16,iPhone,,AZ,,,,,,,,,,,,,,,
7/1/16,7/19/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,MD,,,,,,,,,,,,,,,
7/1/16,8/5/16,iPhone,,IN,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,OR,,,,,,,,,,,,,,,
7/1/16,7/9/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,8/1/16,iPhone,24,MA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,WA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,22,CA,,,,,,,,,,,,,,,
7/1/16,8/2/16,iPhone,,VA,,,,,,,,,,,,,,,
7/1/16,8/4/16,iPhone,13,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,30,TX,,,,,,,,,,,,,,,
7/1/16,10/30/16,iPhone,16,PA,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,14,TX,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,KY,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,8/1/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/16/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,7/20/16,Android,,HI,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,OH,,,,,,,,,,,,,,,
7/1/16,7/19/16,iPhone,36,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,11,NY,,,,,,,,,,,,,,,
7/1/16,7/5/16,iPhone,,MD,,,,,,,,,,,,,,,
7/1/16,7/11/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,VA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,IL,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/11/16,Android,,GA,,,,,,,,,,,,,,,
7/1/16,7/21/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,27,TX,,,,,,,,,,,,,,,
7/1/16,7/11/16,Android,40,VA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,PA,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,GA,,,,,,,,,,,,,,,
7/1/16,7/12/16,iPhone,23,NY,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,OR,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/16/16,iPhone,25,NY,,,,,,,,,,,,,,,
7/1/16,7/19/16,iPhone,,CO,,,,,,,,,,,,,,,
7/1/16,7/15/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,KS,,,,,,,,,,,,,,,
7/1/16,7/5/16,iPhone,,NJ,,,,,,,,,,,,,,,
7/1/16,8/21/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,9/2/16,Android,,TX,,,,,,,,,,,,,,,
7/1/16,7/19/16,iPhone,,MN,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,7/15/16,iPhone,,WI,,,,,,,,,,,,,,,
7/1/16,7/12/16,iPhone,32,UT,,,,,,,,,,,,,,,
7/1/16,7/21/16,Android,9,PA,,,,,,,,,,,,,,,
7/1/16,7/14/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,9/7/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/11/16,iPhone,,MI,,,,,,,,,,,,,,,
7/1/16,7/13/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/29/16,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,7/12/16,Android,,CO,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,28,DC,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,CO,,,,,,,,,,,,,,,
7/1/16,12/1/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/9/16,iPhone,,NJ,,,,,,,,,,,,,,,
7/1/16,7/20/16,Android,,DC,,,,,,,,,,,,,,,
7/1/16,7/16/16,iPhone,,IA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,TX,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/27/16,iPhone,,AZ,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,CO,,,,,,,,,,,,,,,
7/1/16,8/2/16,Android,,ME,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,PA,,,,,,,,,,,,,,,
7/1/16,7/11/16,iPhone,,PA,,,,,,,,,,,,,,,
7/1/16,7/15/16,iPhone,11,MA,,,,,,,,,,,,,,,
7/1/16,8/10/16,Android,,MA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,8/10/16,Android,,TN,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,8/2/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,8/15/16,iPhone,11,VA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,DC,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,3/16/17,iPhone,,VA,,,,,,,,,,,,,,,
7/1/16,11/27/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,7/5/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,AR,,,,,,,,,,,,,,,
7/1/16,7/27/16,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,8/4/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,10/1/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/25/16,iPhone,13,OH,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,17,CA,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CT,,,,,,,,,,,,,,,
7/1/16,7/19/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,8/2/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NJ,,,,,,,,,,,,,,,
7/1/16,10/8/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/12/16,iPhone,37,NY,,,,,,,,,,,,,,,
7/1/16,7/9/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/15/16,Android,11,IL,,,,,,,,,,,,,,,
7/1/16,8/1/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NJ,,,,,,,,,,,,,,,
7/1/16,7/15/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,51,NJ,,,,,,,,,,,,,,,
7/1/16,10/7/16,iPhone,,MD,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,NM,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/29/16,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,9/14/16,iPhone,,TN,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,8/1/16,iPhone,,MN,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,24,VA,,,,,,,,,,,,,,,
7/1/16,8/1/16,Android,,DC,,,,,,,,,,,,,,,
7/1/16,7/20/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/21/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,4/14/17,iPhone,39,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,17,NH,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,12,MD,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,17,MO,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,11/3/16,Android,26,CA,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,11,CA,,,,,,,,,,,,,,,
7/1/16,7/20/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,16,RI,,,,,,,,,,,,,,,
7/1/16,7/10/16,iPhone,,MD,,,,,,,,,,,,,,,
7/1/16,7/9/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,,WA,,,,,,,,,,,,,,,
7/1/16,3/14/17,iPhone,24,NY,,,,,,,,,,,,,,,
7/1/16,8/18/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/18/16,Android,26,CA,,,,,,,,,,,,,,,
7/1/16,7/8/16,Android,,MI,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,WA,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,3/9/17,iPhone,,DC,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,33,VA,,,,,,,,,,,,,,,
7/1/16,7/9/16,Android,24,CA,,,,,,,,,,,,,,,
7/1/16,7/10/16,iPhone,,TN,,,,,,,,,,,,,,,
7/1/16,7/29/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,IN,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,7/15/16,Android,21,RI,,,,,,,,,,,,,,,
7/1/16,7/17/16,iPhone,,IL,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,8/12/16,iPhone,25,VA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,25,OK,,,,,,,,,,,,,,,
7/1/16,9/9/16,iPhone,31,CA,,,,,,,,,,,,,,,
7/1/16,7/9/16,Android,,MA,,,,,,,,,,,,,,,
7/1/16,7/15/16,iPhone,,FL,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,MA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,14,OR,,,,,,,,,,,,,,,
7/1/16,,Android,,CA,,,,,,,,,,,,,,,
7/1/16,,iPhone,32,TX,,,,,,,,,,,,,,,
7/1/16,,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,,Android,,CA,,,,,,,,,,,,,,,
7/1/16,,Android,,CA,,,,,,,,,,,,,,,
7/1/16,,iPhone,14,CA,,,,,,,,,,,,,,,
7/1/16,,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,,iPhone,16,OH,,,,,,,,,,,,,,,
7/1/16,,iPhone,,TX,,,,,,,,,,,,,,,
7/1/16,,iPhone,,CO,,,,,,,,,,,,,,,
