Date Joined Venmo,Date First Used Pay With Venmo,Phone,Age,State
4/1/17,,Android,,NC
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,NY
4/1/17,,iPhone,15,CA
4/1/17,,iPhone,,MI
4/1/17,,iPhone,,AZ
4/1/17,,Android,,NY
4/1/17,,iPhone,49,CA
4/1/17,,iPhone,,FL
4/1/17,,Android,,VA
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,IL
4/1/17,,iPhone,,NY
4/1/17,,iPhone,,NC
4/1/17,,iPhone,,NV
4/1/17,,Android,,VA
4/1/17,,Android,,NY
4/1/17,,Android,,CA
4/1/17,,iPhone,,MD
4/1/17,,iPhone,,MI
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,CA
4/1/17,,Android,,CA
4/1/17,,iPhone,,OH
4/1/17,,iPhone,,CT
4/1/17,,iPhone,,CA
4/1/17,,Android,,NY
4/1/17,,iPhone,27,MN
4/1/17,,Android,,UT
4/1/17,,iPhone,,VA
4/1/17,,Android,,CA
4/1/17,,iPhone,,NY
4/1/17,,Android,,CA
4/1/17,,iPhone,,NY
4/1/17,,Android,,MI
4/1/17,,iPhone,,KS
4/1/17,,Android,,IL
4/1/17,,iPhone,,KS
4/1/17,,Android,,NJ
4/1/17,,iPhone,,ND
4/1/17,,iPhone,31,MI
4/1/17,,Android,,TX
4/1/17,,Android,,CO
4/1/17,,iPhone,,OH
4/1/17,,Android,,RI
4/1/17,,Android,,MA
4/1/17,,iPhone,24,NC
4/1/17,,iPhone,30,NY
4/1/17,,Android,18,TX
4/1/17,,iPhone,,AZ
4/1/17,,Android,,CA
4/1/17,,iPhone,,WA
4/1/17,,iPhone,27,NJ
4/1/17,,Android,,NY
4/1/17,,iPhone,,CA
4/1/17,,iPhone,23,PA
4/1/17,,Android,,MI
4/1/17,,Android,,CA
4/1/17,,Android,,CA
4/1/17,,iPhone,,NY
4/1/17,,Android,,IN
4/1/17,,iPhone,,NY
4/1/17,,Android,,AZ
4/1/17,,iPhone,,FL
4/1/17,,iPhone,,TX
4/1/17,,iPhone,33,MA
4/1/17,,iPhone,,NC
4/1/17,,iPhone,,SD
4/1/17,,Android,,CA
4/1/17,,iPhone,,WA
4/1/17,,iPhone,,NJ
4/1/17,,iPhone,,CA
4/1/17,,Android,23,NY
4/1/17,,iPhone,,WA
4/1/17,,Android,,PA
4/1/17,,iPhone,27,WA
4/1/17,,Android,28,CA
4/1/17,,iPhone,27,CA
4/1/17,,iPhone,11,CO
4/1/17,,Android,,AZ
4/1/17,,iPhone,,CA
4/1/17,,Android,31,CA
4/1/17,,iPhone,14,NM
4/1/17,,iPhone,,KY
4/1/17,,iPhone,,TX
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,PA
4/1/17,,iPhone,,OH
4/1/17,,iPhone,,CA
4/1/17,,Android,,CA
4/1/17,,iPhone,,PA
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,NY
4/1/17,,iPhone,,CO
4/1/17,,iPhone,,TX
4/1/17,,Android,21,NC
4/1/17,,Android,33,NC
4/1/17,,Android,,NY
4/1/17,,iPhone,,MA
4/1/17,,Android,,TX
4/1/17,,Android,,UT
4/1/17,,iPhone,,NJ
4/1/17,,Android,27,GA
4/1/17,,Android,26,NY
4/1/17,,iPhone,,OH
4/1/17,,iPhone,,CA
4/1/17,,Android,,WI
4/1/17,,iPhone,,VA
4/1/17,,iPhone,27,NJ
4/1/17,,Android,,MN
4/1/17,,Android,,HI
4/1/17,,Android,,CA
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,NY
4/1/17,,iPhone,,FL
4/1/17,,iPhone,,CO
4/1/17,,iPhone,,RI
4/1/17,,Android,,MD
4/1/17,,iPhone,,TX
4/1/17,,Android,27,FL
4/1/17,,iPhone,,TX
4/1/17,,Android,,CA
4/1/17,,iPhone,,AL
4/1/17,,Android,,CA
4/1/17,,iPhone,,NC
4/1/17,,Android,,NV
4/1/17,,Android,13,PA
4/1/17,,Android,,WI
4/1/17,,iPhone,,FL
4/1/17,,iPhone,,CA
4/1/17,,iPhone,10,NY
4/1/17,,Android,,CA
4/1/17,,iPhone,,NC
4/1/17,,iPhone,,DC
4/1/17,,Android,25,MA
4/1/17,,Android,,IL
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,FL
4/1/17,,Android,,TX
4/1/17,,iPhone,,TX
4/1/17,,Android,,MI
4/1/17,,iPhone,,NJ
4/1/17,,iPhone,,FL
4/1/17,,iPhone,26,CA
4/1/17,,Android,,OH
4/1/17,,iPhone,,NJ
4/1/17,,iPhone,32,CA
4/1/17,,Android,,CA
4/1/17,,Android,35,CO
4/1/17,,Android,,FL
4/1/17,,iPhone,,NY
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,GA
4/1/17,,iPhone,10,WA
4/1/17,,Android,,CA
4/1/17,,iPhone,,CA
4/1/17,,Android,,NY
4/1/17,4/5/17,Android,,IL
4/1/17,4/24/17,Android,23,VA
4/1/17,4/30/17,iPhone,,AZ
4/1/17,4/9/17,iPhone,13,NY
4/1/17,4/8/17,iPhone,,UT
4/1/17,4/18/17,iPhone,,WA
4/1/17,4/9/17,iPhone,,OH
4/1/17,4/19/17,iPhone,33,NJ
4/1/17,4/4/17,iPhone,,OK
4/1/17,4/7/17,iPhone,,OH
4/1/17,4/23/17,Android,,DC
4/1/17,4/5/17,iPhone,,WI
4/1/17,4/10/17,iPhone,12,NY
4/1/17,4/23/17,iPhone,,NY
4/1/17,4/4/17,iPhone,,NJ
4/1/17,4/5/17,iPhone,14,CA
4/1/17,4/11/17,iPhone,,FL
4/1/17,4/21/17,iPhone,,CO
4/1/17,4/5/17,iPhone,,NY
4/1/17,4/5/17,Android,,CA
4/1/17,4/5/17,iPhone,17,FL
4/1/17,4/7/17,iPhone,13,CA
4/1/17,4/17/17,iPhone,,MN
4/1/17,4/5/17,Android,,CA
4/1/17,4/5/17,iPhone,,NJ
4/1/17,4/8/17,Android,,FL
4/1/17,4/25/17,iPhone,,TX
4/1/17,4/9/17,iPhone,,TX
4/1/17,4/5/17,Android,,CA
4/1/17,4/5/17,iPhone,,MD
4/1/17,4/11/17,Android,,GA
4/1/17,4/5/17,iPhone,,AZ
4/1/17,4/9/17,Android,,NJ
4/1/17,4/4/17,iPhone,,NY
4/1/17,4/12/17,iPhone,,SC
4/1/17,4/5/17,Android,,MN
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/25/17,Android,,TX
4/1/17,4/5/17,iPhone,22,SC
4/1/17,4/5/17,iPhone,,OK
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/18/17,iPhone,,CO
4/1/17,4/10/17,Android,,DC
4/1/17,4/7/17,Android,,CA
4/1/17,4/5/17,iPhone,,NJ
4/1/17,4/17/17,iPhone,,MA
4/1/17,4/4/17,Android,,NY
4/1/17,4/11/17,Android,,NV
4/1/17,4/9/17,Android,,OH
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/5/17,Android,,CA
4/1/17,4/14/17,Android,,CA
4/1/17,4/5/17,iPhone,,CT
4/1/17,4/10/17,iPhone,,TX
4/1/17,4/4/17,iPhone,17,CA
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/7/17,iPhone,,NY
4/1/17,4/5/17,Android,,MA
4/1/17,4/6/17,Android,,CA
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/5/17,iPhone,24,CO
4/1/17,4/5/17,Android,,NC
4/1/17,4/5/17,iPhone,39,NJ
4/1/17,4/22/17,iPhone,,NJ
4/1/17,4/12/17,iPhone,,FL
4/1/17,4/5/17,iPhone,,MA
4/1/17,4/5/17,Android,,CA
4/1/17,4/16/17,Android,,NY
4/1/17,4/10/17,iPhone,,WI
4/1/17,4/14/17,Android,41,NY
4/1/17,4/5/17,Android,,MA
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/12/17,iPhone,,FL
4/1/17,4/29/17,Android,,NC
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/16/17,Android,27,NJ
4/1/17,4/5/17,Android,,MO
4/1/17,4/7/17,Android,,CA
4/1/17,4/4/17,iPhone,28,PA
4/1/17,4/9/17,Android,,CT
4/1/17,4/26/17,iPhone,,IL
4/1/17,4/6/17,iPhone,,VA
4/1/17,4/4/17,Android,,CA
4/1/17,4/16/17,iPhone,,FL
4/1/17,4/5/17,Android,,CA
4/1/17,4/5/17,iPhone,,AL
4/1/17,4/12/17,Android,,CA
4/1/17,4/5/17,iPhone,,TX
4/1/17,4/5/17,Android,,FL
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/4/17,iPhone,34,MI
4/1/17,4/6/17,iPhone,,TX
4/1/17,4/22/17,iPhone,,NY
4/1/17,4/5/17,iPhone,,CO
4/1/17,4/11/17,iPhone,,CA
4/1/17,4/22/17,iPhone,18,MD
4/1/17,4/18/17,iPhone,,MN
4/1/17,4/12/17,iPhone,,FL
4/1/17,4/6/17,Android,,IN
4/1/17,4/6/17,iPhone,13,CA
4/1/17,4/5/17,iPhone,16,IL
4/1/17,4/8/17,iPhone,,AZ
4/1/17,4/13/17,iPhone,,CA
4/1/17,4/5/17,iPhone,,OH
4/1/17,4/4/17,iPhone,,PA
4/1/17,4/8/17,Android,,NY
4/1/17,4/8/17,iPhone,16,PA
4/1/17,4/5/17,Android,29,FL
4/1/17,4/4/17,Android,,GA
4/1/17,4/5/17,Android,,VA
4/1/17,4/22/17,iPhone,,NY
4/1/17,4/24/17,iPhone,21,WI
4/1/17,4/7/17,iPhone,14,NJ
4/1/17,4/12/17,iPhone,,TX
4/1/17,4/4/17,iPhone,36,PA
4/1/17,4/4/17,Android,,WA
4/1/17,4/5/17,Android,,FL
4/1/17,4/5/17,Android,,CA
4/1/17,4/5/17,iPhone,,MD
4/1/17,4/7/17,iPhone,31,CO
4/1/17,4/4/17,iPhone,,WA
4/1/17,4/5/17,Android,,CA
4/1/17,4/5/17,iPhone,20,CA
4/1/17,4/4/17,Android,16,NY
4/1/17,4/13/17,iPhone,,IL
4/1/17,4/6/17,iPhone,,CA
4/1/17,4/5/17,Android,14,PA
4/1/17,4/5/17,iPhone,21,TX
4/1/17,4/11/17,iPhone,11,TX
4/1/17,4/7/17,iPhone,18,PA
4/1/17,4/5/17,Android,,MA
4/1/17,4/6/17,iPhone,,MA
4/1/17,4/7/17,iPhone,,NY
4/1/17,4/6/17,iPhone,,CA
4/1/17,4/5/17,Android,,OH
4/1/17,4/15/17,Android,,CA
4/1/17,4/7/17,iPhone,,UT
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/5/17,iPhone,24,NJ
4/1/17,4/22/17,Android,,MD
4/1/17,4/7/17,Android,,CA
4/1/17,4/5/17,iPhone,,TX
4/1/17,4/10/17,iPhone,,TX
4/1/17,4/4/17,iPhone,,CA
4/1/17,4/5/17,iPhone,,OH
4/1/17,4/6/17,iPhone,30,CA
4/1/17,4/6/17,iPhone,,CA
4/1/17,4/5/17,Android,,NC
4/1/17,4/5/17,iPhone,,IL
4/1/17,4/5/17,iPhone,,MA
4/1/17,4/6/17,iPhone,,NY
4/1/17,4/6/17,iPhone,,GA
4/1/17,4/5/17,iPhone,,DC
4/1/17,4/13/17,Android,,CA
4/1/17,4/8/17,Android,,NJ
4/1/17,4/5/17,iPhone,,NE
4/1/17,4/10/17,iPhone,,KS
4/1/17,4/30/17,Android,,CA
4/1/17,4/5/17,iPhone,,TX
4/1/17,4/18/17,iPhone,10,FL
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/9/17,Android,,MA
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/5/17,iPhone,,UT
4/1/17,4/5/17,iPhone,,NY
4/1/17,4/5/17,Android,,IL
4/1/17,4/7/17,iPhone,,MN
4/1/17,4/5/17,iPhone,,NY
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/5/17,Android,18,WA
4/1/17,4/25/17,iPhone,,DC
4/1/17,4/12/17,iPhone,,CA
4/1/17,4/13/17,iPhone,22,NY
4/1/17,4/5/17,iPhone,24,GA
4/1/17,4/8/17,iPhone,,NJ
4/1/17,4/5/17,Android,22,NH
4/1/17,4/14/17,iPhone,,NY
4/1/17,4/7/17,iPhone,,UT
4/1/17,4/21/17,Android,,NY
4/1/17,4/5/17,Android,,NY
4/1/17,4/4/17,Android,,TN
4/1/17,4/14/17,iPhone,,GA
4/1/17,4/5/17,iPhone,,GA
4/1/17,4/5/17,Android,,IL
4/1/17,4/10/17,iPhone,,WA
4/1/17,4/6/17,iPhone,,CA
4/1/17,4/7/17,iPhone,,VA
4/1/17,4/5/17,Android,,MI
4/1/17,4/5/17,Android,,NJ
4/1/17,4/4/17,iPhone,,CA
4/1/17,4/20/17,Android,,GA
4/1/17,4/5/17,iPhone,,WA
4/1/17,4/5/17,Android,,IL
4/1/17,4/7/17,Android,,
4/1/17,4/5/17,Android,,CA
4/1/17,4/5/17,iPhone,,TX
4/1/17,4/5/17,Android,,OH
4/1/17,4/18/17,iPhone,,CA
4/1/17,4/7/17,iPhone,,DC
4/1/17,4/5/17,iPhone,,NH
4/1/17,4/7/17,iPhone,,NY
4/1/17,4/5/17,iPhone,,NY
4/1/17,4/4/17,iPhone,,NY
4/1/17,4/5/17,iPhone,9,NY
4/1/17,4/5/17,iPhone,,WA
4/1/17,4/15/17,iPhone,17,OH
4/1/17,4/4/17,iPhone,,MA
4/1/17,4/21/17,Android,,GA
4/1/17,4/11/17,Android,19,CO
4/1/17,4/10/17,iPhone,,CA
4/1/17,4/24/17,iPhone,,CA
4/1/17,4/7/17,iPhone,,CA
4/1/17,4/4/17,Android,,CA
4/1/17,4/6/17,iPhone,,CA
4/1/17,4/10/17,iPhone,,CA
4/1/17,4/10/17,iPhone,,MA
4/1/17,4/4/17,Android,,UT
4/1/17,4/10/17,iPhone,,NV
4/1/17,4/7/17,Android,,TX
4/1/17,4/5/17,Android,,NJ
4/1/17,4/5/17,iPhone,,IL
4/1/17,4/5/17,iPhone,,NH
4/1/17,4/10/17,Android,42,CA
4/1/17,4/15/17,iPhone,17,GA
4/1/17,4/5/17,iPhone,16,IL
4/1/17,4/5/17,iPhone,,MA
4/1/17,4/22/17,Android,,NC
4/1/17,4/13/17,iPhone,,CA
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/5/17,iPhone,,VA
4/1/17,4/5/17,iPhone,,IL
4/1/17,4/13/17,Android,,MA
4/1/17,4/7/17,iPhone,27,HI
4/1/17,4/7/17,Android,38,NY
4/1/17,4/5/17,Android,,NY
4/1/17,4/4/17,iPhone,11,NY
4/1/17,4/13/17,iPhone,,MI
4/1/17,4/5/17,Android,,MA
4/1/17,4/14/17,iPhone,,CA
4/1/17,4/5/17,iPhone,,RI
4/1/17,4/5/17,iPhone,,WA
4/1/17,4/4/17,iPhone,,NJ
4/1/17,4/4/17,Android,,CA
4/1/17,4/14/17,iPhone,13,NY
4/1/17,4/5/17,Android,,FL
4/1/17,4/5/17,Android,10,OK
4/1/17,4/5/17,iPhone,,KY
4/1/17,4/12/17,Android,,TX
4/1/17,4/5/17,Android,30,CA
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/14/17,iPhone,23,VA
4/1/17,4/5/17,iPhone,,VA
4/1/17,4/4/17,Android,,CA
4/1/17,4/7/17,iPhone,,NJ
4/1/17,4/9/17,Android,,FL
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/6/17,iPhone,,CA
4/1/17,4/10/17,iPhone,20,NY
4/1/17,4/4/17,Android,,NJ
4/1/17,4/14/17,Android,,LA
4/1/17,4/5/17,Android,59,NJ
4/1/17,4/5/17,iPhone,31,MD
4/1/17,4/8/17,iPhone,,WV
4/1/17,4/6/17,Android,,WA
4/1/17,4/7/17,Android,23,NY
4/1/17,4/22/17,iPhone,,AR
4/1/17,4/8/17,iPhone,,AZ
4/1/17,4/5/17,iPhone,,VA
4/1/17,4/6/17,iPhone,,NY
4/1/17,4/9/17,iPhone,,AZ
4/1/17,4/15/17,Android,,MI
4/1/17,4/12/17,iPhone,,CT
4/1/17,5/1/17,iPhone,26,IN
4/1/17,4/8/17,iPhone,,TN
4/1/17,4/5/17,Android,10,NJ
4/1/17,4/4/17,iPhone,,CA
4/1/17,4/7/17,iPhone,,CT
4/1/17,4/10/17,iPhone,,NJ
4/1/17,4/5/17,iPhone,34,NJ
4/1/17,4/5/17,Android,37,CO
4/1/17,4/5/17,iPhone,,KY
4/1/17,4/14/17,iPhone,,NY
4/1/17,4/7/17,Android,,CO
4/1/17,4/28/17,iPhone,,CA
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/5/17,Android,,NJ
4/1/17,4/4/17,iPhone,,CA
4/1/17,4/9/17,iPhone,29,CA
4/1/17,4/5/17,iPhone,,CO
4/1/17,4/5/17,iPhone,19,NY
4/1/17,4/6/17,iPhone,,WA
4/1/17,4/6/17,Android,,OH
4/1/17,4/13/17,iPhone,30,NY
4/1/17,4/5/17,iPhone,,CA
4/1/17,4/5/17,iPhone,23,CA
4/1/17,4/5/17,Android,24,GA
4/1/17,4/27/17,Android,,GA
4/1/17,4/21/17,iPhone,,VA
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/10/17,iPhone,,NJ
4/1/17,4/11/17,iPhone,,NY
4/1/17,4/6/17,iPhone,,TX
4/1/17,4/25/17,iPhone,,CA
4/1/17,4/20/17,iPhone,,KY
4/1/17,4/8/17,iPhone,,GA
4/1/17,4/7/17,iPhone,,TN
4/1/17,4/21/17,Android,,OH
4/1/17,4/29/17,Android,13,MN
4/1/17,4/4/17,iPhone,,CA
4/1/17,4/16/17,iPhone,19,TX
4/1/17,4/7/17,iPhone,,FL
4/1/17,4/19/17,iPhone,,RI
4/1/17,4/18/17,iPhone,,IL
4/1/17,4/5/17,iPhone,9,CA
4/1/17,4/6/17,Android,,WA
4/1/17,4/5/17,iPhone,,DE
4/1/17,4/7/17,Android,,FL
4/1/17,4/5/17,iPhone,,TX
4/1/17,4/6/17,iPhone,,MD
4/1/17,4/15/17,Android,22,NY
4/1/17,4/5/17,iPhone,,TX
4/1/17,4/15/17,iPhone,,UT
4/1/17,4/10/17,iPhone,,WA
4/1/17,4/5/17,Android,25,TX
4/1/17,4/12/17,Android,26,CA
4/1/17,4/5/17,Android,26,CA
4/1/17,4/5/17,Android,27,IL
4/1/17,4/24/17,iPhone,,NJ
4/1/17,4/16/17,iPhone,,MA
4/1/17,4/20/17,iPhone,12,NY
4/1/17,4/5/17,iPhone,,OR
4/1/17,4/6/17,iPhone,19,CA
4/1/17,4/7/17,Android,22,CA
4/1/17,4/5/17,Android,,VA
4/1/17,4/4/17,Android,,CA
4/1/17,4/27/17,Android,,GA
4/1/17,4/4/17,iPhone,,FL
4/1/17,4/5/17,iPhone,,NY
4/1/17,4/5/17,iPhone,,MD
4/1/17,4/5/17,iPhone,,UT
4/1/17,4/14/17,iPhone,,CO
4/1/17,4/5/17,iPhone,,GA
4/1/17,4/5/17,iPhone,,IL
4/1/17,4/5/17,iPhone,,VA
4/1/17,4/7/17,iPhone,,VA
4/1/17,4/4/17,iPhone,,IL
4/1/17,4/5/17,Android,,NV
4/1/17,4/5/17,iPhone,,OH
4/1/17,4/8/17,Android,,CA
4/1/17,4/5/17,Android,12,CA
4/1/17,4/7/17,iPhone,,CA
4/1/17,4/5/17,Android,27,AL
4/1/17,4/5/17,Android,17,NC
4/1/17,4/4/17,iPhone,,VA
4/1/17,4/5/17,Android,,CT
4/1/17,4/10/17,iPhone,29,NY
4/1/17,4/5/17,iPhone,17,NY
4/1/17,4/8/17,iPhone,,PA
4/1/17,4/7/17,Android,,CA
4/1/17,4/22/17,Android,,NJ
4/1/17,4/5/17,iPhone,,MD
4/1/17,4/6/17,Android,,CA
4/1/17,4/4/17,iPhone,,NY
4/1/17,4/6/17,Android,,MA
4/1/17,4/12/17,Android,,NJ
4/1/17,4/9/17,Android,10,HI
4/1/17,4/5/17,iPhone,,NC
4/1/17,4/5/17,Android,,CA
4/1/17,4/14/17,iPhone,,NY
4/1/17,4/20/17,iPhone,,CA
4/1/17,4/18/17,iPhone,,NC
4/1/17,4/5/17,iPhone,,NY
4/1/17,4/12/17,iPhone,,FL
4/1/17,4/11/17,Android,,WA
4/1/17,4/28/17,Android,,GA
4/1/17,4/5/17,iPhone,,FL
4/1/17,4/9/17,iPhone,,MA
